,time_start,time_end,model,launch_place,target,launched,destroyed,source,missed,year,month,attack_duration
193,2025-02-22 19:00:00,2025-02-23 08:00:00,Shahed-136/131,"Primorsko-Akhtarsk and Chauda, Crimea and Kursk oblast and Bryansk oblast and Oryol oblast and Millerovo and Shatalovo",Ukraine,267.0,138.0,kpszsu/posts/pfbid02ftbW6i4jAQ4ytmwzahSr7H3xRARWqKtAMvUWQPT3NqTqgK73gr3p4seciVBKyD6ol,129.0,2025,2,0 days 13:00:00
194,2025-02-22 19:00:00,2025-02-23 08:00:00,Iskander-M/KN-23,Crimea,Ukraine,3.0,0.0,kpszsu/posts/pfbid02ftbW6i4jAQ4ytmwzahSr7H3xRARWqKtAMvUWQPT3NqTqgK73gr3p4seciVBKyD6ol,3.0,2025,2,0 days 13:00:00
195,2025-02-23 00:00:00,2025-02-23 00:00:00,ZALA,,south,1.0,1.0,PvKPivden/posts/pfbid02NaJNhSoTZEJee68dCdSiDVJzqQ1XCmuB2ZzGrPuQsbLJ6jTdioywdALkosV2NcqDl,0.0,2025,2,0 days 00:00:00
196,2025-02-23 00:00:00,2025-02-23 00:00:00,Orlan-10,,south,2.0,2.0,PvKPivden/posts/pfbid02NaJNhSoTZEJee68dCdSiDVJzqQ1XCmuB2ZzGrPuQsbLJ6jTdioywdALkosV2NcqDl,0.0,2025,2,0 days 00:00:00
197,2025-02-23 00:00:00,2025-02-23 00:00:00,Lancet,,south,1.0,1.0,PvKPivden/posts/pfbid02NaJNhSoTZEJee68dCdSiDVJzqQ1XCmuB2ZzGrPuQsbLJ6jTdioywdALkosV2NcqDl,0.0,2025,2,0 days 00:00:00
198,2025-02-21 19:00:00,2025-02-22 08:00:00,Shahed-136/131,Primorsko-Akhtarsk and Kursk oblast and Bryansk oblast and Oryol oblast and Millerovo,Ukraine,162.0,82.0,kpszsu/posts/pfbid0388YfzcmjExPNRPvDZ15JGsWUYcHBpwDMX84qdX8wfp9sKsSR2aJNCL1gJpKVja7Hl,80.0,2025,2,0 days 13:00:00
199,2025-02-22 00:00:00,2025-02-22 00:00:00,Молнія,,south,1.0,1.0,PvKPivden/posts/pfbid02XZT4a77n4CE95i3WXHNpve3A2Jm6eLtyTdubWBKUbYkE6XbmYgW5kujLYbymdvLyl,0.0,2025,2,0 days 00:00:00
200,2025-02-22 00:00:00,2025-02-22 00:00:00,Lancet,,south,1.0,1.0,PvKPivden/posts/pfbid02XZT4a77n4CE95i3WXHNpve3A2Jm6eLtyTdubWBKUbYkE6XbmYgW5kujLYbymdvLyl,0.0,2025,2,0 days 00:00:00
201,2025-02-20 19:00:00,2025-02-21 08:00:00,Shahed-136/131,Kursk oblast and Bryansk oblast and Oryol oblast and Millerovo and Shatalovo,Ukraine,160.0,87.0,kpszsu/posts/pfbid02WdcEYV7arPHjupnohWktHu9pCtizG4W5agpkixij9FY2KC8oAL3d5aKDzyp9Q4PMl,73.0,2025,2,0 days 13:00:00
202,2025-02-20 19:00:00,2025-02-21 08:00:00,Iskander-M/KN-23,Crimea,Odesa oblast,2.0,0.0,kpszsu/posts/pfbid02WdcEYV7arPHjupnohWktHu9pCtizG4W5agpkixij9FY2KC8oAL3d5aKDzyp9Q4PMl,2.0,2025,2,0 days 13:00:00
203,2025-02-21 00:00:00,2025-02-21 00:00:00,ZALA,,south,1.0,1.0,PvKPivden/posts/pfbid02TGn54AJkUgAKpmogQyZhoyq84a2ZS5MNkr7mAcbUEAFw74oJMuH3rSDoiz4kzD8ql,0.0,2025,2,0 days 00:00:00
